ID;Вода,г;белки,г;жиры,г;НЖК,г;ПНЖК,г;Холестерин,г;Моно-дисахариды,г;Крахмал,г;Углеводы,г;Пищ.волокна,г;Орг.кислоты,г;Зола,г;Na (натрий),мг;K (калий),мг;Ca (кальций),мг;Mg (магний),мг;P,мг;Fe (железо),мг;A,мкг;Бета-каротин,мкг;Ретиноловый эквивалент,мкг;Токоферолэквивалент,мкг;B1,мг;B2,мг;PP,мг;Ниациновый эквивалент,мкг;C,мкг;Алкоголь,%;ЭЦ,ккал
54-101-001-01;6307,326915;830561,3248;557019,1461;601272,405;1357,301223;10916,16774;431589,1943;478842,4376;247765,571;297301,6616;722228,7043;1159788,715;74056,67712;39713,36164;27297,36102;42602,77974;23625,70426;513555,0286;4802,278315;4267,04228;16703,41337;699673,3363;6751241,011;5714478,881;501795,6686;285056,0092;54255,37178;16644,81709;8165,993466
54-602-024-01;5267,221806;327061,253;413544,8891;281105,8403;76,72680412;5913,423464;143571,3698;417676,8109;73303,04594;189683,1693;606245,0141;523256,5343;31492,95238;17116,24989;13163,72251;20256,53085;10178,38068;310531,9596;3054,915585;2609,739366;9686,443666;521644,3112;4951970,799;4272927,981;406174,6864;223309,5953;42293,9575;17272,94209;4380,842091
54-601-020-01;10404,68582;546479,0502;1275493,262;1089135,765;543,7268041;21526,69899;554104,7964;1315838,165;244548,5862;452002,6917;1890658,514;934084,2928;27430,25399;18440,60165;29532,41407;37330,40265;19029,54362;919355,6603;9833,80605;7386,227233;27950,66831;1667141,037;13950433,95;11535678,04;1285018,847;667286,8384;117347,6094;1360,74512;14274,47312
54-701-021-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54-504-035-01;7401,222626;862027,2612;1106066,561;760867,6493;4325,180412;14513,87918;177751,0589;777090,8087;71009,34502;313645,4052;1160408,716;1187092,389;79675,95889;39280,58613;27963,95447;48663,26636;26819,33066;640288,3425;5503,530756;6399,274696;33773,23849;1176080,932;9599733,634;8469388,074;923436,3385;529718,6982;66072,80384;42900;9442,214503
54-504-009-01;6921,622096;867210,1422;1042701,809;893258,2876;1283,030303;16369,21218;242950,8906;773511,5714;121917,3573;479533,9177;999078,7652;1196719,857;81704,68125;39178,91173;27812,11981;48136,83518;27622,36908;774258,5504;5367,995263;4344,49397;22117,21534;1230518,971;12014990,67;7320795,832;880906,6842;487999,2069;97734,91416;0;9628,485313
54-502-001-01;11281,36923;1048443,612;1099662,045;1298732,72;1896,745032;13644,85532;1366432,993;1609273,323;680142,2756;288190,1381;1442569,973;1861160,352;38817,81124;21062,47311;43830,28193;32553,13974;33339,15428;573910,85;6260,899378;5952,68782;23137,35881;1000907,902;8194340,097;7659570,954;1135776,874;659159,0836;66376,97043;19714,91179;22985,04944
54-602-040-01;5366,751184;884475,4679;1575540,083;628707,6754;2649,66486;7741,578609;399979,1774;644318,3145;199379,4802;166899,0305;1159380,661;1345219,715;71201,23155;39248,14102;27677,79029;40850,11849;24568,68975;927132,8105;4194,828841;5824,670907;21077,30446;692830,187;7228150,77;5683871,532;1006315,943;338201,6609;76122,11427;6700;11266,95178
54-504-003-01;7142,440512;188013,7495;469391,9917;564911,6957;1685,030303;10314,64824;123320,1924;407140,4664;30382,9674;262213,9025;675960,0407;670409,9727;15033,56011;58231,42379;12731,00157;23542,01517;6490,568596;318733,0982;4553,332246;4128,953143;14725,37481;583491,433;5615481,589;6181046,487;517848,6354;312226,2985;26865,46324;28600;4145,490196
54-504-002-01;7575,43622;1700181,866;1239193,795;1060428,28;446,6666667;14374,81632;905942,7955;1586928,346;462212,807;495887,9937;1406799,935;2112651,231;126406,5878;13795,66391;49271,01572;63118,46871;50387,27613;838706,6658;5827,96274;5440,534533;23590,22533;1418458,67;11873243,02;8421789,807;992933,7075;610651,0288;106893,2943;14300;20533,13438
54-504-032-01;4363,272159;744438,9512;632949,9087;425378,8334;990,2042739;5319,799694;152411,0157;520972,9967;97061,06852;111407,7821;525889,3432;1186252,97;73945,95516;62944,89446;20128,27738;39956,46719;21156,63796;432845,8943;3065,725695;4332,868132;20662,18841;643660,4705;5285257,041;4838372,067;521317,6647;280421,896;50625,06089;0;6414,008884
54-504-036-01;10896,2883;905733,4704;1003458,463;900726,1557;7705,038163;21269,82431;372722,3867;826961,4991;156884,062;530206,8124;1376300,42;1452494,851;84812,14078;65833,2033;36030,41389;63294,08878;28798,98815;911037,7652;9996,367711;6976,519109;28519,83707;1460285,762;13319226,67;13315591,27;1196407,27;597728,587;88631,25202;100000;9978,219106
54-504-028-01;3537,400247;863354,3388;311061,8181;630588,968;469,3562061;9988,563824;479383,0279;427342,5253;185422,1424;311146,7361;584754,4958;1098348,264;66515,47983;18160,67971;28492,43819;38880,80323;24391,57442;467502,9775;3943,939596;1300,531987;6867,647547;676726,8288;6016204,689;6543129,385;436195,1393;281454,0093;46675,78643;14300;9152,317992
54-702-018-01;13214,62726;1806032,385;1214541,959;1010895,081;2155,079574;21347,51963;552344,4998;1278185,823;197340,8513;565208,1407;1348621,322;2254356,081;171090,9874;49747,67743;56527,05855;84217,66027;50198,20503;1023555,149;9610,299127;8954,51563;26962,45513;1551156,627;14554531,97;14407822,62;976277,3492;595307,8455;39800,50825;4766,666667;15562,9454
54-502-012-01;5530,763961;792760,6569;523058,1203;557032,4501;446,6666667;12235,68459;114923,6813;377054,3479;58027,24774;97989,68756;955429,4342;1459009,214;76763,58942;81955,7755;21195,54351;47924,71708;22815,58072;880127,1861;7479,938235;7731,895764;14893,91916;638082,4452;6969228,304;4983368,034;1127074,38;353679,6083;108903,0576;14300;6349,50053
54-601-004-02;9675,511557;1371960,405;603630,5901;832859,2211;1100,963807;9178,260236;251326,2045;342482,0786;100853,314;344969,2875;918068,8813;2006848,708;134199,1202;88997,04436;36590,4947;71482,98999;39529,52796;796355,5635;4292,136123;4811,987087;20459,54914;847573,845;7767595,92;7993605,588;882910,8458;434833,9337;66601,31611;47666,66667;9021,951157
54-503-018-01;6361,672504;1149164,621;818618,9491;763779,407;1420,504014;13167,71571;763218,4894;1269665,084;397311,7657;190682,1739;1206201,455;1738977,918;77912,26105;41152,27347;35820,21622;42711,36118;33045,66856;518374,5823;6559,889888;3985,024265;17852,21023;752542,2711;7529823,417;5259446,514;726915,6809;448627,6252;78557,72029;6937,942943;16920,21727
54-502-006-02;3192,344368;749283,3433;597730,4676;343712,1758;985,8333333;6816,813777;100135,5852;424733,5953;49007,84043;142526,3522;737563,8441;799210,2711;68319,73447;6409,231551;17850,64255;32934,73479;20936,18476;522664,517;2764,610145;4128,427258;12644,35406;656885,8325;5047520,434;4266942,396;515797,0272;239721,5799;74086,09342;6700;6296,911227
54-702-026-01;5710,485846;803595,0743;578587,9168;474026,6945;1065,234577;8619,699464;257462,4973;642056,1181;113246,2177;211329,6711;768645,1358;1159548,255;73205,7788;38496,58926;23470,86518;40052,46323;22937,92052;476826,309;4592,065404;2795,170754;11737,94285;672113,2689;6138747,438;5333453,769;529621,1021;288888,3148;55753,68017;14300;7915,919288
54-601-056-01;11134,22154;1008225,916;1499124,691;1177728,799;5581,630474;19441,04006;305364,4873;1169634,5;165940,3495;478707,0836;1731663,732;1368618,728;84128,51335;40574,53084;34492,46083;60159,40328;32801,44066;1110593,537;9835,372587;10158,23478;45369,59713;1781760,755;16337467,04;13459295,65;1463797,897;810036,6198;103436,328;42900;13352,76312
54-601-055-01;9218,770364;504446,3164;776876,551;767103,6388;492,8613607;14980,3377;157836,9047;657137,2342;63790,89422;245612,3642;982226,0573;1188011,465;47039,43704;80858,48774;20785,36442;42134,19716;17050,82148;1002268,016;6248,578799;6670,785954;23745,41858;1017770,058;9490032,529;7278635,695;1151853,624;524096,164;99993,55075;0;7562,581467
54-601-052-01;3349,854575;392634,0981;384396,6132;370185,3589;1014,7553;10290,21306;112667,6827;378670,8103;52513,10853;178889,275;771255,2161;536862,2762;34022,50032;16298,68949;12072,72281;22664,63109;11515,28166;506444,393;5368,747864;4601,357841;11962,28121;642103,5754;5143347,205;4252367,908;655366,5396;290302,2466;40674,82723;8933,333333;4853,669815
54-503-004-01;5193,033672;891972,919;605685,4336;644443,3305;97,5;9852,632126;362983,6747;691456,2945;175119,2818;114211,264;810308,1742;1513173,315;76566,96361;64011,63044;26256,27879;42181,33747;25065,30423;791853,427;4734,6542;4169,418623;18416,93551;551384,0455;6031350,577;5091607,439;889625,4111;374348,6521;123081,6082;0;10333,85526
54-503-021-01;3875,132256;323772,5809;591848,1469;495062,0536;6481,149784;10036,13831;301944,4972;586923,6795;148605,6768;127377,0488;788224,2611;847858,6091;21036,68976;59078,92276;15255,11923;23549,4746;10567,55752;425782,8488;5916,674715;4418,399891;12731,56827;611571,6361;4993845,951;5035525,159;594165,5675;269794,1631;45455,00198;0;6850,729802
54-502-008-01;5157,126037;897427,5223;548437,7899;580483,167;1845,801223;12267,04494;388794,8327;714558,9835;200391,0209;249671,2271;1006591,144;1471016,123;77697,84219;64280,46627;27853,3921;43864,2542;25390,443;640650,8245;5177,561514;3053,059112;16368,09452;647221,565;6745426,27;4605346,948;681481,8006;314503,51;69923,08773;14320,12012;10357,49021
54-503-006-01;5314,588532;872539,9251;759137,3588;587581,9168;451,651185;7183,104326;173432,0396;325858,4143;76446,27815;196963,97;682024,195;1238863,84;74941,69891;39537,40157;23854,96266;43899,62636;28917,25351;933397,95;4102,687802;5232,062205;20803,6864;843766,2707;7119015,155;6626620,134;864356,8582;478386,0914;44960,50857;1431,988636;7485,61934
54-601-051-01;9015,773697;1024442,235;1200747,372;929500,7592;4584,689539;16705,79591;419825,0272;1349182,244;195648,6218;280483,6265;1418322,61;1315112,003;81066,81332;8598,030851;31802,00602;42946,44236;31307,43338;687777,9896;7275,187639;5839,141604;28919,68305;1230674,324;9388932,991;9037396,651;1010430,984;637290,0266;51504,80812;0;14420,6715
54-601-004-01;7029,835568;827288,3471;1274086,302;1034929,139;3055,149784;23768,96649;849327,068;1461516,95;433137,2939;295716,4266;1447301,744;1483662,812;39715,91808;37784,23457;32247,27818;36727,06379;26627,88881;799305,1577;11290,61482;9053,360523;38715,76326;1214639,404;9954436,873;8807999,266;1409753,889;706105,2955;97880,38536;16533,33333;17904,628
54-701-024-02;6929,153598;1043946,407;1296563,792;1168903,504;3131,499531;22350,33288;552093,1925;1293380,82;242969,918;459893,8309;1793996,92;1425965,279;81933,73408;22400,808;37740,32498;55862,01335;32239,35387;1156445,919;9365,971496;9449,170728;30866,81312;1591073,747;14380619,03;12728373,58;1462568,461;688311,8472;123799,031;14300;16013,86724
54-701-037-01;6476,591645;495495,7403;915855,9691;842829,7819;1028,225049;13984,45363;354824,3023;922565,1461;157068,1916;225562,8375;979076,989;798698,2453;27945,69817;15686,84847;21010,78715;29388,55771;16558,8673;730421,7443;7444,640115;8415,575736;24674,78709;1028528,92;8482257,954;7956337,212;1003803,687;486037,8881;131797,5154;20,12012012;9810,108026
54-701-020-01;9858,609763;1174920,604;1287442,617;1176133,64;10745,2479;21860,0112;714724,4126;1234403,007;345513,031;763992,0175;1801527,187;1787665,047;81607,87194;23435,18138;42940,45732;62389,36245;35817,48382;1131806,966;10381,71988;8708,141297;31012,4829;1743945,496;15617170,92;15954398,38;1589847,949;818720,4183;115346,5627;111933,3333;16951,18951
54-701-035-01;5684,753554;942088,6734;905770,1032;778146,1764;3921,221383;17106,96537;489158,2359;1089597,508;234177,8857;361307,0324;1042745,154;1364774,382;73881,74836;39687,34413;31692,01658;46834,84098;27369,58325;618302,0371;7854,222282;4654,195038;22821,57078;1239343,04;9585307,787;7966428,718;825295,1104;494070,4226;65761,50981;14300;12531,37138
54-701-034-01;4167,557533;153260,0937;450707,461;460003,2046;807,5418247;7769,612683;139545,2167;371928,1712;65117,12412;226438,1495;928970,6578;581151,2853;13797,03485;59565,90687;14126,75821;22300,59285;5851,065574;396698,7174;2964,906341;3784,748667;13324,73574;646441,4746;6758526,078;4872081,68;531216,6648;273367,9751;45967,94486;42,94294294;4324,874961
54-701-029-01;4421,817604;391735,6999;377780,9075;468249,4465;913,1895394;8941,811777;375824,8253;521377,4556;185909,4783;196153,7199;508821,1965;763535,0521;27743,88252;35184,6214;17029,21622;23222,8892;12551,9434;337346,2001;3699,212414;2174,653118;9261,323524;500371,7881;4434205,228;4253595,091;472707,5292;257925,9283;38009,10071;6700;6502,997038
54-601-030-02;5617,46981;495813,753;411391,6382;471512,5503;3168,426282;7871,956085;355036,1747;615601,2308;169493,2524;224555,4695;755968,56;928265,2502;36750,67242;37229,02813;19338,74996;26427,45916;14694,08038;403424,5087;3166,573231;3168,726175;10924,54873;554334,7456;5793511,767;4743494,951;505958,1938;279194,9266;72145,19341;12206,27542;7299,580654
54-601-030-04;4106,612699;689590,3957;702930,6086;1023046,922;1423,810334;9385,225404;1252400,774;1503460,833;615459,7366;174874,4958;1036718,226;1393713,476;8414,476028;16986,06629;31014,98806;14384,62202;21285,68503;317073,5978;4808,977912;2467,766662;12391,1038;599228,2458;4615758,36;4218036,844;719487,2965;463129,1134;41518,27105;2233,333333;20169,59312
54-601-033-01;8893,638805;929294,7529;1116220,213;839900,9987;1234,699456;17063,09824;205442,9277;999181,4554;102020,4451;278055,1326;1422605,485;1268054,453;80459,10334;39582,76766;27890,62896;51476,58163;28464,0332;1029501,491;9904,697757;6706,905731;32202,2359;1322089,968;10783867,55;10092654,81;1276119,197;660220,0862;85058,76515;14300;11507,24082
54-601-033-02;4567,906963;740731,0194;412743,1046;315704,6252;1585,049301;6870,309432;125720,8757;357387,1244;65116,5669;162968,0066;621077,476;1022912,232;71828,97038;37877,6472;19318,70377;36728,45119;20756,77594;487699,58;3074,70956;2262,554505;11113,9491;533452,7531;4753743,494;4298957,154;466191,59;231756,7865;50821,38129;0;5678,665167
54-601-043-01;4102,483205;639536,0184;441069,0286;644170,7583;1055,757576;2497,765059;706142,1656;904409,3098;337719,4191;118167,8339;479617,4529;1071860,479;31113,69383;15048,53528;23291,01424;17988,91232;18500,42221;222370,3686;1354,8096;1171,001833;5533,046939;352304,8412;2949551,195;4234805,437;370026,7497;253543,9994;15165,68274;4766,666667;12029,07345
54-601-034-02;4831,414588;1048053,145;403690,968;796298,5453;103,4036697;5812,458311;723434,5778;885695,5885;343288,9421;146007,4431;544255,8509;1639552,45;70197,74247;40142,65728;31734,37303;35482,59777;29090,42686;312618,7249;2185,961317;1784,482066;10555,89159;336144,81;4074835,29;3867340,118;457821,5496;358971,0372;16179,04738;14320,12012;13750,38299
54-002-015-01;14070,28521;2039787,978;1639627,656;1996819,369;982,2690974;23701,12806;651923,0036;2065208,297;519392,6772;277830,4492;1963570,351;2847889,154;180070,0418;91372,35556;49617,07329;94756,16666;57718,45685;1103725,811;14853,03482;11132,22863;54045,78624;1912097,173;18911911,29;13476769,67;1785144,695;1009034,428;211585,4215;14391,36364;19709,32135
54-601-041-01;7341,63811;539234,7845;939452,8076;756746,5522;2037,882895;13591,90849;318912,6269;588427,0751;167709,5307;227931,583;1137674,503;1110416,559;43850,9511;62344,23038;22698,29001;36784,78662;18419,34915;801055,8465;6415,413965;4854,624507;23932,70342;1001989,438;8245507,549;7629806,025;988123,963;497948,6179;61525,10885;6834,306579;8478,75045
54-002-103-01;8260,054721;1105079,15;1588286,408;1114423,889;1180,606061;15209,8999;116458,8432;618637,4129;68517,0048;321161,6182;1308800,164;1794328,895;91193,58176;83582,08433;31530,46026;61292,01183;40010,74976;1112115,211;8183,806234;8933,695816;45433,50118;1669446,842;11380929,83;11268088,04;1411022,441;914394,817;65684,75157;0;11234,14809
54-002-172-01;5724,414952;443491,693;635228,4569;451933,3917;953,3333333;10629,92168;207611,3665;576444,9084;110775,9589;142092,929;763400,8437;788362,8565;37768,73123;35137,99523;15402,71012;25774,73035;13962,59268;547684,9312;4229,05094;4374,998843;17314,23075;649881,9762;5740452,124;4647123,469;678125,2162;312850,7834;62192,9097;14300;6576,276193
54-602-026-02;5046,696507;807431,1988;532750,2295;470968,6064;3683,901244;11870,14457;229975,989;468622,288;116255,6737;137295,1524;671962,7271;1164269,561;72262,22348;38507,78405;22035,40751;38263,92311;22802,52831;695810,0424;4917,050701;3419,829312;13936,76568;642835,3882;5487799,608;5417925,324;711929,6804;300994,2405;78789,96655;7328,125;7634,385174
54-701-037-02;7443,190245;856230,8272;993060,8308;852733,0804;1789,69697;17212,06005;272697,5332;904787,5121;144580,911;358533,2775;935330,5763;1158595,831;74857,02924;39335,90411;27440,18894;47300,86199;25227,37607;687978,9947;8453,291319;7072,336396;31805,3399;1329944,285;10429666,29;8544575,669;900068,7041;513161,8433;88911,55247;14300;9803,659654
54-602-035-01;7886,030555;1200772,705;806574,9349;922369,5495;4359,070336;9173,927759;811344,6691;1077255,058;396794,5179;300015,3226;997237,8174;1800890,854;80932,71561;40788,97104;38712,7768;45403,52001;34288,11766;561504,3207;3895,772449;3405,086269;17144,11744;835731,548;7964942,309;7319381,525;818980,7423;541860,6211;67795,964;43485;16220,54432
54-602-057-01;4623,603305;563583,7385;625250,1192;719873,2108;5536,381274;16890,54093;517913,3699;701336,1459;215355,4146;307410,7287;1110860,497;811413,7179;35757,24744;6352,230751;24010,81883;30720,13477;18584,17804;621023,2489;7159,330496;5962,817949;19786,32827;824469,2059;6635337,137;6597410,35;813219,9812;432093,1779;62168,79944;14300;9871,015485
54-602-048-01;8616,916044;713858,4139;1693565,27;985876,8992;3093,176397;20173,12032;428769,1621;1421110,476;212222,1725;327171,3228;1723341,293;1127024,575;53150,33437;18430,3266;27678,39198;40214,05385;27680,78793;1261126,332;10017,81363;8346,459061;35381,75283;1529823,405;12172530,76;11676658,11;1628189,634;797193,637;124121,1666;0;15338,76067
54-103-001-01;5592,53297;582744,7407;551436,7849;962997,8344;6015,227273;6244,154112;333942,0234;586486,4847;156690,8452;143693,4583;544909,7107;1159984,535;38823,7575;60521,94419;20516,86154;29625,74698;17882,34131;364003,7654;3902,560792;4655,803616;20761,64438;651587,7863;5363748,72;5899334,64;593960,6513;365215,6522;49114,46833;11466,66667;8039,700307
54-602-058-01;7683,519661;292458,5212;413538,9588;654521,3041;983,2177445;8222,745262;461883,4754;620709,677;291002,2516;169668,6134;1140146,02;901026,0164;14136,96826;59162,26538;17938,31174;22233,19359;10793,05809;557560,2609;3597,364733;3336,829757;17186,7311;486072,706;6493859,118;4699394,739;730597,8936;379582,6708;60051,08973;2881,578453;7713,907168
54-602-049-01;6891,447936;1720257,1;624722,9904;813400,3491;152,6253192;18358,41277;173005,3488;522196,9879;85300,02951;201561,9933;650964,5078;2068704,586;162936,0937;46157,98863;38065,10398;74539,94603;46933,80213;1051893,286;8019,6275;9684,189337;39516,69984;911294,9567;7041945,311;7167871,551;907547,7862;458374,616;75295,47307;0;10659,48726
54-103-002-01;5081,784943;294690,2732;778216,981;735544,228;544,1666667;9866,246212;326917,1824;707147,6404;158309,113;211671,428;604905,1783;731151,9924;13863,42755;33563,05488;16685,45314;23049,78911;13049,35182;450460,0744;4247,264307;2760,56054;10051,48979;818220,0422;7481409,82;7105666,463;792429,5076;393036,6873;85036,61269;100000;7612,428045
54-103-003-01;6440,0478;665347,6719;1178333,118;1018344,867;7345,111827;16722,16101;389915,5007;1474562,729;219998,0268;220828,6919;1403058,752;1057317,161;47064,19989;17563,09194;24881,99216;32939,13724;20184,70389;902202,3267;6750,515352;7646,352824;32815,65461;888372,3301;11768705,37;7168651,823;1392914,145;660321,7137;102612,1729;2233,333333;12708,46438
54-701-032-01;6912,461534;517858,7398;408891,7123;758985,426;728,9827118;12979,58576;386975,8198;492737,0895;179899,5755;171576,3757;1025088,988;932149,0251;35290,50098;37031,40607;21086,0723;28660,63268;15851,77207;448536,9202;7019,075854;4545,926999;11916,32616;711012,5558;6466330,362;6518210,384;652194,5896;343800,5525;66781,32468;6700;8081,955458
54-602-051-01;7349,424941;1394166,738;718334,9513;837088,2908;457,4831804;12161,2787;455021,0056;715380,7148;382011,2959;283595,4348;1394243,023;1716844,936;124327,745;42978,35263;32811,35668;64690,57187;35470,86488;966719,3567;8507,099991;6804,582971;20629,47059;1121611,617;14302195,01;9684987,481;1082502,963;554390,8301;116708,4194;28600;11445,51282
54-602-059-01;8435,012251;782159,446;818329,1611;1173820,327;481,149784;27645,35699;797458,6178;1124455,849;367515,9563;238113,1621;1284977,425;1428017,727;38157,62593;39212,31952;32697,57341;34369,12671;24849,12042;584698,5526;14917,33178;5977,991637;23774,19195;1090064,563;8144926,569;7583055,276;919263,9819;530421,8775;74298,94431;6811,483756;15686,93628
54-602-060-01;5099,638527;814972,7187;586282,7643;589951,2995;6243,94188;19806,69829;209461,1011;609732,7098;96025,91888;311344,2653;1230477,793;1055598,328;76048,81427;20981,29697;25143,07447;43407,88492;22684,82439;1115630,261;7462,179271;8455,74538;15322,70033;853122,6438;9351789,371;7003036,19;1240804,792;415856,6138;129853,2776;11486,78679;8183,301682
54-701-033-02;4662,435991;884608,0722;543797,5287;584180,794;3665,917415;11139,93994;412907,9242;638355,6351;191569,5967;227274,5895;539495,891;1314505,814;72057,72305;39041,26847;27762,63649;40365,52875;25755,92422;463494,2213;5071,582035;2373,021789;10848,22202;696667,9569;5791329,014;5404727,552;521377,0755;329910,7216;35364,08668;44240,625;9368,237873
54-602-053-01;3473,365849;307094,4736;248776,2325;266923,4611;883,9920941;10508,45163;265994,0916;241821,5811;133145,725;117768,6089;400509,3561;788711,8972;27514,11222;59947,50408;14547,2887;22256,41645;9036,794688;274084,2136;5511,131607;2289,679606;6436,548912;450936,2557;3269476,896;3206159,318;327686,0746;143034,9116;35995,27184;14320,12012;4006,994858
54-602-039-01;10540,00193;875391,4577;1235862,715;1715804,437;2586,75947;11910,13916;1271808,776;2331357,382;623832,8438;224722,3212;1725088,985;1943872,461;20870,65253;61790,08265;39381,5861;30903,79788;28120,25327;534564,1629;6551,06968;6779,133932;34630,1463;1001950,659;12043486,69;10058258,84;1290188,96;835350,7351;76755,7453;0;24365,84383
54-602-062-01;13254,6365;1719847,507;820733,2023;705468,0402;6605,962278;19356,76431;147253,2556;452538,3028;68519,46089;179786,0804;1046751,525;2314457,85;171804,8255;73542,97209;40352,1165;80377,06427;48849,11013;1309570,078;11683,57298;8395,243153;29533,07847;895680,5499;8529418,838;8036343,837;1047261,354;447108,2941;105250,2848;6700;11303,43474
54-602-054-01;6424,964712;1657655,391;1263055,952;917931,3415;3723,90367;9746,550737;791247,517;1527766,365;393157,0867;249488,919;1508487,721;2128159,296;126917,5121;25472,83256;44459,6456;58327,59677;48077,36335;762113,9034;3919,651993;4638,234113;23038,13319;1143407,673;9075933,495;7999448,68;878868,4134;551436,4632;49449,71135;0;20597,76924
54-602-002-01;8572,190569;1052341,358;1168346,347;977797,0122;1201,32771;15472,75209;471860,5341;1259191,701;222397,4872;463738,108;1059573,508;1439025,11;85541,59858;23677,66658;36220,33539;53613,46302;33165,17065;679638,4759;7566,555935;5538,876459;23643,32561;1313066,643;13370077,97;10803744,94;1092695,944;641961,4989;76315,41756;100091,3636;13520,20031
54-602-038-01;12267,41141;1680295,62;1290398,926;2129825,337;2080,905878;49541,55419;857081,0591;1323585,378;357927,7717;1503479,704;3305451,939;1956837,772;138480,2406;30862,03468;69108,2656;112883,3222;48681,94373;2112727,502;12379,19421;10423,15429;32808,47748;3005941,395;30420431,75;22150114,46;2200711,575;1185313,676;325318,3156;81461,45833;22522,63161
54-602-055-01;8022,280334;558885,055;1227774,828;1007472,8;3586,458653;11299,42486;235485,6919;1232757,366;106330,9508;374329,4909;740854,5316;809278,365;39440,03078;17752,67551;21700,38379;34442,5869;19943,2666;613629,231;4248,590945;7585,057358;35995,47342;1268409,654;11451325,24;9773525,473;1081272,78;644009,0552;60576,25027;16533,33333;9669,66706
54-601-012-02;11801,22153;984161,3971;969549,5773;1409176,213;3190,028027;20107,85319;1693697,483;1933491,219;827967,3398;254000,1879;1734050,81;2422970,837;22913,59757;82431,57784;47444,68917;32788,81001;30992,46218;919248,1455;9465,322158;12107,93749;38961,64749;947010,0405;8810966,34;7530058,917;1358314,214;655416,4186;146272,9385;46585,44209;26994,7276
54-103-004-01;3551,69733;102639,7814;268177,1918;237315,6271;1,967889908;4916,463193;52710,42065;191407,9373;16601,12706;81820,43008;185331,6045;541772,6891;11115,46383;57802,64136;7938,915248;15146,68637;4276,475528;218085,5245;1400,151733;1532,228622;6542,410862;334248,1988;3247503,849;2912853,326;314805,3428;172441,2558;25531,6102;15039,60876;1839,916273
54-103-006-02;5186,324073;343692,5134;795296,4927;824021,4755;3501,590909;12614,01747;381993,0158;776621,6487;185629,4775;277783,8274;1175652,338;645783,4332;13299,60064;15115,69728;19619,08015;22072,98887;13534,04715;417505,5928;4851,765763;4492,300154;18855,41597;927558,179;9022375,196;7337775,236;820232,0792;455014,4252;105778,6274;45133,33333;9049,096178
54-103-007-01;4261,043846;341637,6417;854891,7611;684925,356;2860;10867,15596;213437,5666;694958,7308;104198,2904;394764,8466;1168261,799;431152,3521;21333,12212;4268,610401;17700,05665;27017,76907;13427,09713;589739,1896;3486,874825;3449,604118;13448,22108;1042879,133;10485269,72;8370793,088;757444,0197;437889,3857;89374,33265;11466,66667;7655,095383
54-701-033-01;4170,687678;436730,6979;264037,0681;375559,352;1495,674388;10644,07179;313807,9517;389267,3405;146798,4283;70227,04186;577959,1412;718997,8426;30548,13663;16736,70737;14625,71394;17846,8358;12945,66751;406543,0506;5996,985483;3963,590782;7576,991082;353942,3149;2918874,293;2858021,255;445914,0609;185507,0308;35519,49507;0;6447,14913
54-601-011-01;6906,900364;791085,7562;1079760,385;1100252,664;849,588685;12061,24037;766518,8064;1630840,167;374805,5397;208915,3012;1161784,33;1451039,339;44912,04558;37224,08975;30643,41112;33446,80595;24159,48539;558893,5732;3108,11;4326,446814;24519,27519;877691,343;9832394,313;7392029,818;971550,7019;571659,4774;68788,64387;2233,333333;16692,81517
54-602-056-01;6796,288971;916334,3809;1187379,702;864542,0765;16105,95865;11201,24556;223091,4065;990860,1143;91490,44444;369240,5435;1326218,86;1104698,859;78805,82416;20304,72847;27052,06691;45543,56713;26963,10636;699567,8147;4685,185511;3953,513864;18335,27547;1178621,053;9694153,108;8553231,445;953175,2386;520008,2063;60126,01122;14300;10809,62433
54-601-013-01;11371,06446;1103510,441;1754635,831;1469316,069;2746,897756;19201,8822;1315204,462;2068104,184;651961,3681;277315,1359;2199375,368;2100547,721;46236,16888;40642,03418;45700,40127;39123,56866;34639,65156;1263645,032;6709,901613;9610,941336;34953,71122;1190421,705;11985066,08;9748572,04;1945067,014;862898,438;142175,656;111,4837565;25936,08786
54-701-028-01;7343,458983;453061,0434;835518,6493;564406,6387;594,2971405;8567,281087;123869,218;630268,7851;52532,37064;233727,8916;874340,513;617753,613;35016,96756;16665,80802;16546,16483;28732,12996;15883,38169;432843,2413;4767,684676;3952,011319;18170,06513;1036698,723;8157683,847;7381777,864;737983,2661;405954,2437;59739,0702;42900;6257,758713
54-602-035-02;11058,82502;1028008,12;1070689,744;876804,7343;1415,710715;21618,13115;296013,7521;968903,3312;146585,0721;368316,1691;1452213,327;1246201,994;80723,57726;22657,19339;31728,70864;50459,83684;29599,67919;1109404,406;11291,06419;13005,2759;37348,87916;1309576,895;12696048,99;11413204,39;1408401,888;654800,9795;145746,2209;14927,94294;10878,37227
54-601-016-01;5826,528553;488805,4078;823859,0236;911514,362;508,0886334;11271,65421;149041,9339;728550,5808;65844,22244;175030,5743;801786,4195;820345,3653;39862,01623;35575,5418;16913,77501;31202,78383;15107,23553;707058,6479;6224,716929;7091,727605;20448,68826;1006308,12;8310337,343;7885472,206;1024011,993;520204,4506;67150,06833;91,36363636;7405,738016
