ID;Вода,г;белки,г;жиры,г;НЖК,г;ПНЖК,г;Холестерин,г;Моно-дисахариды,г;Крахмал,г;Углеводы,г;Пищ.волокна,г;Орг.кислоты,г;Зола,г;Na (натрий),мг;K (калий),мг;Ca (кальций),мг;Mg (магний),мг;P,мг;Fe (железо),мг;A,мкг;Бета-каротин,мкг;Ретиноловый эквивалент,мкг;Токоферолэквивалент,мкг;B1,мг;B2,мг;PP,мг;Ниациновый эквивалент,мкг;C,мкг;Алкоголь,%;ЭЦ,ккал
54-102-255-01;5924,343243;811497,4431;592173,861;548805,6368;1834,022873;8755,550513;145184,8039;393770,3242;69413,88476;162726,7999;839841,546;1321518,922;77598,17758;63376,56236;22149,1606;42941,72695;23915,19231;708503,6097;4454,927711;4723,99845;20344,39098;683260,0231;6086772,672;5233834,492;782779,0355;368723,9625;86803,88423;14300;6967,17299
54-103-056-01;6685,477115;574979,2309;1034657,338;522302,604;2889,927666;22038,23939;423220,9629;892123,2634;236068,5857;221001,6055;1053869,133;1108298,17;40899,22303;37906,31218;21887,8679;33626,56024;18994,33506;935036,0623;8398,869785;7130,569518;20339,4982;1111255,064;8937390,272;6946928,537;1191397,708;468881,3547;139007,3086;45852,82197;10603,58508
54-103-054-01;10446,91765;1071835,976;1228938,69;1001867,179;2422,392132;21719,44588;399449,0468;1198216,064;198014,067;372718,3463;1007342,315;1923382,821;89290,61534;84539,90602;35575,51785;59661,61658;38954,81625;1002468,35;6297,804041;4754,01121;23499,68084;1088611,769;12580722,54;10362601,6;1237153,795;679335,3766;99268,75711;101360,7451;13159,90887
54-102-257-01;6437,283008;324949,8562;160383,1254;251778,9054;490,8934708;11141,09949;112264,8002;114653,1427;40639,63881;60579,3017;487480,5051;646745,091;32641,60958;34664,34434;11367,17913;21130,7349;9345,002044;599833,5198;5744,871733;3116,654575;7132,653111;247991,7032;3041691,911;3146357,8;601957,8789;152731,1034;56833,04083;0;3462,32698
54-103-054-02;7601,134332;1357602,908;633333,7353;953671,2582;1802,339486;9695,609146;1269943,786;1394207,995;638000,0453;211657,9717;1210121,715;2463905,008;76635,54745;67425,0356;49995,05942;43522,54308;38805,53693;745036,2433;4519,171678;2757,549784;12783,27362;577275,7922;6949634,284;4744573,716;754116,5473;510650,5633;72527,99448;49266,69209;21902,61319
54-102-256-01;9551,068844;1477616,878;909684,4457;1166971,462;6626,106263;32693,88701;289597,2195;711217,7231;202026,9152;248604,9959;1673006,91;1915439,138;130142,2012;44223,35684;38178,02612;77560,75786;41960,72478;2247555,225;15690,47464;15489,01762;40587,06121;1210089,437;13629430,62;9726013,622;2288661,027;752495,4316;239972,723;0;14094,3587
54-702-016-01;11416,85177;1421268,383;2595846,48;1913361,414;8417,239211;73227,00052;1832292,255;2490930,997;972062,7858;304226,1853;3180467,905;2850440,051;49806,39832;26211,53176;55989,99012;59010,50042;44032,99962;3811438,099;22301,9038;20408,70075;34855,78475;1377754,039;21751636,51;12361647,73;4286246,417;1180610,671;522643,3105;8831,48461;37557,93415
54-702-016-02;4896,462099;635835,5298;771971,5143;625531,2188;3865,841658;7889,145949;723294,518;923934,3091;347758,7622;146476,0869;983621,2198;1277160,84;29127,33973;37556,08606;27149,52936;22350,72878;20292,42857;340289,5953;4903,696826;3211,993446;12352,72308;697624,8855;5299696,664;4383152,873;611868,1273;391772,3258;39490,83288;8083,567943;13400,2093
54-702-017-01;6334,622234;950633,4004;1106785,841;1100390,451;976,0228727;6042,79696;114985,2318;842210,5151;69838,29107;181769,305;744166,2844;1098023,877;81671,40478;8365,744453;24162,40859;41102,25685;33190,53683;553094,7085;1940,369248;5330,329447;27643,49057;845718,3966;9783620,965;7774138,077;946380,0986;582640,4703;43648,80663;2233,333333;9198,623217
54-702-018-02;8422,030347;593090,8416;686544,1111;819157,0818;2447,049562;10710,3997;468888,9224;768380,3013;237646,4453;252513,4542;1029028,237;1030698,887;38057,39183;18510,74767;25764,23214;30259,7254;18603,56588;629411,7864;5094,401461;5729,583111;19583,5801;826904,3958;9032566,647;7402063,457;861734,4664;446118,1813;73445,46979;46941,99512;9535,41009
